image_name| comment_number| comment
2021602343.jpg| 0| There are two boys on a basketball court and one is holding a basketball .
2021602343.jpg| 1| The boy is holding a basketball on a wooden basketball court .
2021602343.jpg| 2| A boy with a basketballs glowers at the camera .
2021602343.jpg| 3| A young boy shows off his basketball skills
2021602343.jpg| 4| a boy holds a basketball angerly .
2096630557.jpg| 0| A referee with a whistle in his mouth points to the right and watches as a player with the basketball bends down with a defensive player .
2096630557.jpg| 1| Two men
2096630557.jpg| 2| Two men playing basketball on a wooden court with a referee standing behind them .
2096630557.jpg| 3| Two black guys
2096630557.jpg| 4| Two boys playing basketball was the referee looks on .
2208250764.jpg| 0| An black female on team blue chases a basketball between one other female teammate and two female members of team white .
2208250764.jpg| 1| The blue team
2208250764.jpg| 2| A group of young girls are competing in a basketball game
2208250764.jpg| 3| An African American child runs after a basketball while in game with opponents .
2208250764.jpg| 4| A girl in blue chases the ball during an indoor basketball game .
2251747182.jpg| 0| The boy in the white jersey is dribbling the orange Wizards basketball .
2251747182.jpg| 1| A young boy
2251747182.jpg| 2| The little boy in the red shorts is going to shoot a basket .
2251747182.jpg| 3| A young boy holding a basketball about to shoot .
2251747182.jpg| 4| A boy playing basketball in a gym
2271755053.jpg| 0| A boy with red shorts is holding a basketball in a basketball court .
2271755053.jpg| 1| A young boy is playing basketball in an official game .
2271755053.jpg| 2| The boy runs with the basketball while looking up .
2271755053.jpg| 3| The children are playing basketball indoors .
2271755053.jpg| 4| The boy is playing basketball .
2272548482.jpg| 0| A young boy plays basketball while a few people behind him look on .
2272548482.jpg| 1| A boy holds a basketball during a game
2272548482.jpg| 2| a boy is running with a basketball in his hands .
2272548482.jpg| 3| A boy is holding a basketball in one hand .
2272548482.jpg| 4| A boy throws a basketball during a game .
2285152690.jpg| 0| Three men in basketball uniforms looking at something .
2285152690.jpg| 1| Two basketball players from duke are looking upward .
2285152690.jpg| 2| A basketball player in a duke uniform looks up .
2285152690.jpg| 3| Two basketball players watching the ball .
2285152690.jpg| 4| There are three basketball players
2293424366.jpg| 0| The boy in the royal blue basketball uniform is dribbling the ball down court .
2293424366.jpg| 1| A young boy playing basketball in a gym
2293424366.jpg| 2| The young boy is running while bouncing a basketball .
2293424366.jpg| 3| A young boy on a basketball team dribbles the ball .
2293424366.jpg| 4| The boy runs across the court with the basketballs .
2399219552.jpg| 0| A boy wearing blue shorts is bouncing a basketball in front of the net .
2399219552.jpg| 1| A little boy plays with a basketball and a toy basketball hoop .
2399219552.jpg| 2| The child in the blue shorts dribbled the basketball .
2399219552.jpg| 3| little boy playing basketball in the grass
2399219552.jpg| 4| A boy plays basketball .
2529205842.jpg| 0| Basketball player has fallen on the court while another grabs at the ball from out of frame .
2529205842.jpg| 1| Two basketball players
2529205842.jpg| 2| Two high school basketball players reach to grab the ball
2529205842.jpg| 3| Two basketball players are scrambling for the ball on the court .
2529205842.jpg| 4| Two men in uniforms playing basketball
2705888144.jpg| 0| A man in blue shorts jumps up to dunk a basketball while a crowd looks on .
2705888144.jpg| 1| Young man in blue shorts about to perform a slam dunk .
2705888144.jpg| 2| Guy making a basketball shot with onlookers watching .
2705888144.jpg| 3| A man dunks a basketball in front of a crowd .
2705888144.jpg| 4| Boy slam dunks a basketball .
2710563762.jpg| 0| A girl basketball player wearing blue is blocking another girl player wearing yellow .
2710563762.jpg| 1| A group of people gather on a basketball court as one person jumps for the ball .
2710563762.jpg| 2| two teams of players playing basketball on a court outside .
2710563762.jpg| 3| Basketball players jumping up for the ball during a game .
2710563762.jpg| 4| Girls are playing basketball .
2725042940.jpg| 0| A young boy hanging off a child 's basketball hoop looking very excited .
2725042940.jpg| 1| A boy playing basketball in a fenced area and hanging from the hoops .
2725042940.jpg| 2| A little boy achieves a slam dunk on a toy basketball hoop .
2725042940.jpg| 3| A smiling little boy jumps up to a toy basketball hoop .
2725042940.jpg| 4| a little kid a doing a slam dunk
2737233999.jpg| 0| Four people playing basketball on wooden area near the beach .
2737233999.jpg| 1| Four people are playing basketball on a plank deck outdoors .
2737233999.jpg| 2| Young children shoot baskets in the field .
2737233999.jpg| 3| Kids playing basketball on a wood deck .
2737233999.jpg| 4| Four children playing basketball .
2915183095.jpg| 0| Three people stand on a basketball court as a ball flies through the air .
2915183095.jpg| 1| A group of boys play basketball outside of a brown building .
2915183095.jpg| 2| Three teens watching a basketball in the air .
2915183095.jpg| 3| Three teen boys playing basketball outside
2915183095.jpg| 4| people playing
2926595608.jpg| 0| The man on the yellow basketball team tries to score while the men on the opposing team try to block his shot .
2926595608.jpg| 1| In this picture all men from both basketball teams with red and green jerseys are jumping .
2926595608.jpg| 2| A group of basketball players wearing yellow and green reach for a ball .
2926595608.jpg| 3| Basketball players shoot for a goal during a game .
2926595608.jpg| 4| Four men jumping in a basketball game
2993167183.jpg| 0| An orange-clad Miami basketball player dribbles the ball while another man blocks
2993167183.jpg| 1| The basketball player is wearing an orange uniform and holding a basketball .
2993167183.jpg| 2| A tall black man playing basketball .
2993167183.jpg| 3| A Miami basketball player .
2993167183.jpg| 4| Two men play basketball .
2993167197.jpg| 0| A man on the Miami basketball team holds the ball getting ready to make a move while being blocked .
2993167197.jpg| 1| The basketball player holds the ball and looks across the court .
2993167197.jpg| 2| The man is wearing an orange uniform and holding a basketball .
2993167197.jpg| 3| A basketball player looks for someone to pass the ball to .
2993167197.jpg| 4| Basketball player holding the ball .
2993388841.jpg| 0| The basketball player in the blue uniform is guarding the player in the orange uniform
2993388841.jpg| 1| A basketball player in orange has the ball while another in blue tries to block him .
2993388841.jpg| 2| The basketball player in blue is challenging the player in orange for the ball .
2993388841.jpg| 3| A basketball player in orange is keeping the ball from a player in blue .
2993388841.jpg| 4| Two teams compete in a basketball game .
2994107810.jpg| 0| The basketball player in the orange jersey is being guarded by the player in the blue jersey .
2994107810.jpg| 1| The basketball player looks around the court as another player tries to block him .
2994107810.jpg| 2| A basketball player wearing an orange uniform looks backwards .
2994107810.jpg| 3| Two men from opposite teams playing basketball .
2994107810.jpg| 4| two men play basketball .
3053743109.jpg| 0| Black and yellow teams are trying to get the basketball in the goal .
3053743109.jpg| 1| A group of basketball players jump in the air for the ball .
3053743109.jpg| 2| a group of athletes playing a basketball game
3053743109.jpg| 3| Basketball players participate in a game .
3053743109.jpg| 4| A basketball game
3068945309.jpg| 0| A man wearing a white uniform is trying to make a shot but the two men in black are trying to block him .
3068945309.jpg| 1| A basketball player in a white uniform is making a jump shot against a team wearing black uniforms .
3068945309.jpg| 2| Basketball player in white uniform leaping to make a shot while being blocked by player in black .
3068945309.jpg| 3| Basketball players leap for the ball while the crowd watches .
3068945309.jpg| 4| A basketball player takes a shot .
3072172967.jpg| 0| A player from the white and green highschool team dribbles down court defended by a player from the other team .
3072172967.jpg| 1| Two boys in green and white uniforms play basketball with two boys in blue and white uniforms .
3072172967.jpg| 2| Four men playing basketball
3072172967.jpg| 3| Young men playing basketball in a competition .
3072172967.jpg| 4| Four basketball players in action .
3078402009.jpg| 0| An indoors basketball game is in progress among racially-mixed group of males ; one holds the ball with two hands overhead .
3078402009.jpg| 1| A basketball player in a white jersey prepares to pass the ball back into play during a game .
3078402009.jpg| 2| The basketball player prepares to launch the ball to his teammate far down the court .
3078402009.jpg| 3| A player surveys the court to inbound during a high school basketball game .
3078402009.jpg| 4| Boy passes ball to teammate during basketball game .
3094034072.jpg| 0| Girl playing basketball while holding the ball in her hand from the other team in order to make a shot in the hoop or pass the ball to one of her teammates .
3094034072.jpg| 1| Two girls are competing against each other in a game of basketball .
3094034072.jpg| 2| School aged girls playing basketball in a gym .
3094034072.jpg| 3| Girls playing basketball competitively
3094034072.jpg| 4| Girls playing basketball .
3126752627.jpg| 0| A basketball player shooting while another player is trying to block his shot .
3126752627.jpg| 1| A basketball player tries to block another .
3126752627.jpg| 2| Two basketball players reaching for a ball .
3126752627.jpg| 3| two men jump for the basketball .
3126752627.jpg| 4| Two men are playing Basketball
3126773489.jpg| 0| The player in the white dribbles the ball
3126773489.jpg| 1| A man with a basketball blocks an attempt to take his ball .
3126773489.jpg| 2| Man runs by other man with basketball at a game .
3126773489.jpg| 3| Two men are playing during a basketball game .
3126773489.jpg| 4| a basketball player defends another player .
3126795109.jpg| 0| A bald basketball player is standing on a court with the ball in his right hand .
3126795109.jpg| 1| Number five of the University of Miami men 's basketball team has the ball .
